9594092, -1, 13
9594092, 0, 0, 13, 0
9594092, 1, 1, 13, 0.0769231
9594092, 2, 0, 13, 0
9594092, 3, 19, 13, 1.46154
9594092, 4, 1, 13, 0.0769231
9594092, 5, 0, 13, 0
9594092, 6, 129, 13, 9.92308
9594092, 7, 1, 60, 0.0166667
9594092, 8, 0, 12, 0
9594092, 9, 0, 0, 0
9594092, 10, 0, 13, 0
9594092, 11, 3, 13, 0.230769
9594092, 12, 4, 13, 0.307692
9594092, 13, 13, 13, 1
9594092, 14, 0, 13, 0
9594092, 15, 100, 13, 7.69231
9594092, 16, 6, 13, 0.461538
9595095, -1, 10
9595095, 0, 0, 10, 0
9595095, 1, 1, 10, 0.1
9595095, 2, 5, 10, 0.5
9595095, 3, 2, 10, 0.2
9595095, 4, 9, 10, 0.9
9595095, 5, 0, 10, 0
9595095, 6, 186, 10, 18.6
9595095, 7, 1, 50, 0.02
9595095, 8, 1, 10, 0.1
9595095, 9, 0, 0, 0
9595095, 10, 0, 10, 0
9595095, 11, 31, 10, 3.1
9595095, 12, 10, 10, 1
9595095, 13, 102, 10, 10.2
9595095, 14, 0, 10, 0
9595095, 15, 19, 10, 1.9
9595095, 16, 22, 10, 2.2
